Мантатова Татьяна Евгеньевна — Сенатор Российской Федерации
Маргелов Михаил Витальевич — Сенатор Российской Федерации
Маркелов Константин Алексеевич — Сенатор Российской Федерации
Марков Валерий Петрович — Сенатор Российской Федерации
Мартынов Игорь Александрович — Сенатор Российской Федерации
Мархаев Вячеслав Михайлович — Сенатор Российской Федерации
Марценко Виктор Васильевич — Сенатор Российской Федерации
Марченко Михаил Александрович — Сенатор Российской Федерации
Маслов Виктор Николаевич — Сенатор Российской Федерации
Масловский Павел Алексеевич — Сенатор Российской Федерации
Матвеев Александр Сафронович — Сенатор Российской Федерации
Маточкин Юрий Семенович — Сенатор Российской Федерации
Машковцев Михаил Борисович — Сенатор Российской Федерации
Медведев Николай Яковлевич — Сенатор Российской Федерации
Медведев Юрий Германович — Сенатор Российской Федерации
Межевич Валентин Ефимович — Сенатор Российской Федерации
Мезенцев Дмитрий Федорович — Сенатор Российской Федерации
Меликов Сергей Алимович — Сенатор Российской Федерации
Мельников Владимир Ильич — Сенатор Российской Федерации
Мельниченко Олег Владимирович — Сенатор Российской Федерации
Меремянин Константин Георгиевич — Сенатор Российской Федерации
Меркулов Павел Александрович — Сенатор Российской Федерации
Меркушкин Николай Иванович — Сенатор Российской Федерации
Мизинин Владимир Николаевич — Сенатор Российской Федерации
Мизулина Елена Борисовна — Сенатор Российской Федерации
Мингазов Вагиз Василович — Сенатор Российской Федерации
Миронов Виктор Григорьевич — Сенатор Российской Федерации
Миронов Вячеслав Александрович — Сенатор Российской Федерации
Миронов Сергей Михайлович — Сенатор Российской Федерации
Митин Сергей Герасимович — Сенатор Российской Федерации
Михайлов Александр Николаевич — Сенатор Российской Федерации
Михайлов Евгений Эдуардович — Сенатор Российской Федерации
Михайловский Михаил Геннадьевич — Сенатор Российской Федерации
Михеев Михаил Александрович — Сенатор Российской Федерации
Мишнев Анатолий Иванович — Сенатор Российской Федерации
Молчанов Андрей Юрьевич — Сенатор Российской Федерации
Морозов Игорь Николаевич — Сенатор Российской Федерации
Морозов Олег Викторович — Сенатор Российской Федерации
Мостовой Леонид Аркадьевич — Сенатор Российской Федерации
Мошкович Вадим Николаевич — Сенатор Российской Федерации
Мунзук Галина Максимовна — Сенатор Российской Федерации
Мутко Виталий Леонтьевич — Сенатор Российской Федерации
Муха Виталий Петрович — Сенатор Российской Федерации
Мухаметшин Фарид Хайруллович — Сенатор Российской Федерации
Мухаметшин Фарит Мубаракшевич — Сенатор Российской Федерации
Нагинский Григорий Михайлович — Сенатор Российской Федерации
Наговицын Вячеслав Владимирович — Сенатор Российской Федерации
Назаренко Василий Николаевич — Сенатор Российской Федерации
Назаров Александр Викторович — Сенатор Российской Федерации
Назаров Виктор Иванович — Сенатор Российской Федерации
Назарчук Александр Григорьевич — Сенатор Российской Федерации
Наздратенко Евгений Иванович — Сенатор Российской Федерации
Наролин Михаил Тихонович — Сенатор Российской Федерации
Нахушев Заурби Ахмедович — Сенатор Российской Федерации
Невзлин Леонид Борисович — Сенатор Российской Федерации
Неделин Геннадий Павлович — Сенатор Российской Федерации
Неелов Юрий Васильевич — Сенатор Российской Федерации
Некрасов Александр Николаевич — Сенатор Российской Федерации
Нелидов Андрей Витальевич — Сенатор Российской Федерации
Немцов Борис Ефимович — Сенатор Российской Федерации
Нефедов Виктор Леонидович — Сенатор Российской Федерации
Никитов Владимир Аполлонович — Сенатор Российской Федерации
Николаев Вадим Иванович — Сенатор Российской Федерации
Николаев Михаил Ефимович — Сенатор Российской Федерации
Николаева Галина Григорьевна — Сенатор Российской Федерации
Никологорский Валерий Григорьевич — Сенатор Российской Федерации
Никольский Борис Васильевич — Сенатор Российской Федерации
Новиков Вячеслав Александрович — Сенатор Российской Федерации
Новожилов Виктор Феодосьевич — Сенатор Российской Федерации
Ножиков Юрий Абрамович — Сенатор Российской Федерации
Оганян Оганес Арменакович — Сенатор Российской Федерации
Одинцов Михаил Викторович — Сенатор Российской Федерации
Озеров Виктор Алексеевич — Сенатор Российской Федерации
Ойф Валерий Александрович — Сенатор Российской Федерации
Олейник Геннадий Дмитриевич — Сенатор Российской Федерации
Ольшанский Николай Михайлович — Сенатор Российской Федерации
Ооржак Мерген Дадар-оолович — Сенатор Российской Федерации
Ооржак Шериг-оол Дизижикович — Сенатор Российской Федерации
Опенышев Сергей Павлович — Сенатор Российской Федерации
Орлов Алексей Маратович — Сенатор Российской Федерации
Орлов Виктор Петрович — Сенатор Российской Федерации
Орлова Светлана Юрьевна — Сенатор Российской Федерации
Осинцев Юрий Валерьевич — Сенатор Российской Федерации
Осмаев Амин Ахмедович — Сенатор Российской Федерации
Оськина Вера Егоровна — Сенатор Российской Федерации
Оюн Дина Ивановна — Сенатор Российской Федерации
Павленко Виктор Николаевич — Сенатор Российской Федерации
Павлова Маргарита Николаевна — Сенатор Российской Федерации
Паланкоев Ахмет Магомедович — Сенатор Российской Федерации
Пантелеев Алексей Борисович — Сенатор Российской Федерации
Пантелеев Олег Евгеньевич — Сенатор Российской Федерации
Панченко Игорь Владимирович — Сенатор Российской Федерации
